,Property,City,PropertyType,Status,DateClosed,DateReopened
71,Lucky 7 Casino & Hotel,Smith River,Indian Casino,Reopened,1 Jun 2020,20 Mar 2020
72,Lucky 7 Fuel Mart,Smith River,Indian Casino,Reopened,8 Jun 2020,20 Mar 2020
73,Lucky Bear Casino,Hoopa,Indian Casino,Closed,,18 Mar 2020
74,Lucky Chances Casino,Colma,Card Room,Closed,,14 Mar 2020
75,Mono Wind Casino,Auberry,Indian Casino,Reopened,1 Jun 2020,23 Mar 2020
76,Morongo Casino Resort & Spa,Cabazon,Indian Casino,Reopened,22 May 2020,17 Mar 2020
77,Morongo Travel Center,Cabazon,Indian Casino,Reopened,29 May 2020,17 Mar 2020
78,Napa Valley Casino,American Canyon,Card Room,Closed,,15 Mar 2020
79,Oaks Card Club,Emeryville,Card Room,Closed,,17 Mar 2020
80,Ocean's Eleven Casino,Oceanside,Card Room,Closed,,17 Mar 2020
81,Paiute Palace Casino,Bishop,Indian Casino,Reopened,8 Jun 2020,17 Mar 2020
82,Pala Casino Spa and Resort,Pala,Indian Casino,Reopened,22 May 2020,20 Mar 2020
83,Parkwest Casino 580,Livermore,Card Room,Closed,,17 Mar 2020
84,Parkwest Casino Cordova,Rancho Cordova,Card Room,Closed,,16 Mar 2020
85,Parkwest Casino Lodi,Lodi,Card Room,Closed,,16 Mar 2020
86,Parkwest Casino Lotus,Sacramento,Card Room,Closed,,16 Mar 2020
87,Parkwest Casino Sonoma,Petaluma,Card Room,Closed,,16 Mar 2020
88,Pechanga Resort & Casino,Temecula,Indian Casino,Reopened,1 Jun 2020,16 Mar 2020
89,Pit River Casino,Burney,Indian Casino,Reopened,17 Jun 2020,23 Mar 2020
90,Players Casino,Ventura,Card Room,Closed,,17 Mar 2020
91,Quechan Casino Resort,Winterhaven,Indian Casino,Closed,,23 Mar 2020
92,Rain Rock Casino,Yreka,Indian Casino,Reopened,1 Jun 2020,17 Mar 2020
93,Red Earth Casino,Thermal,Indian Casino,Reopened,1 Jun 2020,22 Mar 2020
94,Red Fox Casino,Laytonville,Indian Casino,Closed,,18 Mar 2020
95,Red Hawk Casino,Placerville,Indian Casino,Reopened,8 Jun 2020,18 Mar 2020
96,Redwood Hotel Casino,Klamath,Indian Casino,Closed,,18 Mar 2020
97,River Rock Casino,Geyserville,Indian Casino,Closed,,19 Mar 2020
98,Robinson Rancheria Resort & Casino,Nice,Indian Casino,Closed,,17 Mar 2020
99,Rolling Hills Casino,Corning,Indian Casino,Reopened,21 May 2020,18 Mar 2020
100,Running Creek Casino,Upper Lake,Indian Casino,Reopened,8 Jun 2020,20 Mar 2020
101,San Manuel Casino,Highland,Indian Casino,Reopened,9 Jun 2020,15 Mar 2020
102,San Pablo Lytton Casino,San Pablo,Indian Casino,Reopened,16 Jun 2020,18 Mar 2020
103,Santa Anita Park,Arcadia,Horse Track,Racing without Spectators,26 May 2020,27 Mar 2020
104,Seven Mile Casino,Chula Vista,Card Room,Closed,,16 Mar 2020
105,Sherwood Valley Rancheria Casino,Willits,Indian Casino,Closed,,18 Mar 2020
106,Soboba Casino Resort,San Jacinto,Indian Casino,Reopened,27 May 2020,18 Mar 2020
107,Solano Race Place,Vallejo,Horse Track,Closed,,16 Mar 2020
108,Spotlight 29 Casino,Coachella,Indian Casino,Reopened,22 May 2020,19 Mar 2020
109,Sycuan Casino Resort,El Cajon,Indian Casino,Reopened,20 May 2020,20 Mar 2020
110,Table Mountain Casino,Friant,Indian Casino,Reopened,8 Jun 2020,16 Mar 2020
111,Tachi Palace Casino Resort,Lemoore,Indian Casino,Reopened,28 May 2020,20 Mar 2020
112,The Aviator Casino,Delano,Card Room,Closed,,18 Mar 2020
113,The Bicycle Hotel & Casino,Bell Gardens,Card Room,Reopened,19 Jun 2020,19 Mar 2020
114,The Palace Poker Casino,Hayward,Card Room,Closed,,15 Mar 2020
115,The Play Station 777,Blue Lake,Indian Casino,Closed,,18 Mar 2020
116,The Saloon at Stones Gambling Hall,Citrus Heights,Card Room,Closed,,18 Mar 2020
117,The Tavern at Stones Gambling Hall,Citrus Heights,Card Room,Closed,,18 Mar 2020
118,Thunder Valley Casino Resort,Lincoln,Indian Casino,Reopened,8 Jun 2020,20 Mar 2020
119,Tortoise Rock Casino,Twentynine Palms,Indian Casino,Reopened,22 May 2020,19 Mar 2020
120,Towers Casino,Grass Valley,Card Room,Closed,18 May 2020,18 Mar 2020
121,Turlock Poker Room,Turlock,Card Room,Closed,,20 Mar 2020
122,Twin Pine Casino and Hotel,Middletown,Indian Casino,Reopened,23 Jun 2020,20 Mar 2020
123,Vaca Valley Bingo,Vacaville,Bingo Hall,Closed,,16 Mar 2020
124,Valley View Casino & Hotel,Valley Center,Indian Casino,Reopened,22 May 2020,20 Mar 2020
125,Viejas Bingo,Alpine,Indian Casino,Reopened,13 Jun 2020,20 Mar 2020
126,Viejas Casino & Resort,Alpine,Indian Casino,Reopened,18 May 2020,20 Mar 2020
127,Westlane Card Room,Stockton,Card Room,Closed,,18 Mar 2020
128,Winnedumah Winn's Casino,Independence,Indian Casino,Reopened,7 Jun 2020,17 Mar 2020
129,Win-River Resort & Casino,Redding,Indian Casino,Reopened,15 May 2020,17 Mar 2020
130,Yokut Gas,Lemoore,Indian Casino,Closed,,20 Mar 2020
